lon,lat,slope,geology,vs30
23.68213,41.4,0.2571632,PRECAMBRIAN,840.8712
23.68213,41.3,0.22520012,JURASSIC-TRIASSIC,821.89294
23.78213,41.4,0.13535598,PRECAMBRIAN,730.4332
23.78213,41.3,0.15730959,PRECAMBRIAN,709.0732
23.78213,41.2,0.35003406,PRECAMBRIAN,900
23.88213,41.4,0.02028818,PRECAMBRIAN,373.00876
23.88213,41.3,0.033396553,PRECAMBRIAN,578.1189
23.88213,41.2,0.028196093,CRETACEOUS,422.80508
23.98213,41.4,0.05060298,PRECAMBRIAN,595.0205
23.98213,41.3,0.11507655,PRECAMBRIAN,622.7987
23.98213,41.2,0.25250623,PRECAMBRIAN,900
23.98213,40.8,0.08951373,CRETACEOUS,633.0263
24.08213,41.5,0.16612089,PRECAMBRIAN,819.9779
24.08213,41.4,0.041935705,PRECAMBRIAN,488.584
24.08213,41.3,0.15866616,PRECAMBRIAN,800.4471
24.08213,41.2,0.09308658,PRECAMBRIAN,770.44714
24.08213,41.1,0.004375733,PLEISTOCENE,253.61803
24.08213,40.9,0.25954026,PRECAMBRIAN,900
24.08213,40.8,0.09132334,PLEISTOCENE,538.03687
24.18213,41.5,0.04237313,PRECAMBRIAN,529.4243
24.18213,41.4,0.09125998,PRECAMBRIAN,572.8491
24.18213,41.3,0.09966939,PRECAMBRIAN,736.5813
24.18213,41.2,0.07112343,PRECAMBRIAN,445.038
24.18213,41.1,0.009056774,CRETACEOUS,293.13455
24.18213,41,0.003844227,PLEISTOCENE,236.41534
24.18213,40.9,0.2309243,PRECAMBRIAN,900
24.18213,40.8,0.07848336,JURASSIC-TRIASSIC,567.7214
24.28213,41.5,0.10636246,PRECAMBRIAN,596.47
24.28213,41.4,0.124586076,PRECAMBRIAN,626.90466
24.28213,41.3,0.09271798,PRECAMBRIAN,712.8143
24.28213,41.2,0.06717012,PRECAMBRIAN,660.9562
24.28213,41.1,0.017901862,CRETACEOUS,373.9489
24.28213,41,0.009051273,PLEISTOCENE,294.30008
24.28213,40.9,0.10099228,PRECAMBRIAN,610.6506
24.38213,41.5,0.18695158,PRECAMBRIAN,900
24.38213,41.4,0.105916575,PRECAMBRIAN,752.32745
24.38213,41.3,0.044428132,PRECAMBRIAN,506.51123
24.38213,41.2,0.04760281,PRECAMBRIAN,460.86578
24.38213,41.1,0.1789222,PRECAMBRIAN,825.0835
24.38213,41,0.08411956,PLEISTOCENE,525.2214
24.48213,41.5,0.21696599,PRECAMBRIAN,899.4532
24.48213,41.4,0.15672109,PRECAMBRIAN,728.4083
24.48213,41.3,0.122495264,PRECAMBRIAN,595.10565
24.48213,41.2,0.25855595,PRECAMBRIAN,836.4115
24.48213,41.1,0.10480838,PRECAMBRIAN,648.7652
24.48213,41,0.15101382,PRECAMBRIAN,789.1353
24.58213,41.4,0.21271074,PRECAMBRIAN,810.1804
24.58213,41.3,0.17312005,PRECAMBRIAN,741.18
24.58213,41.2,0.23613842,PRECAMBRIAN,898.33923
24.58213,41.1,0.14696185,PRECAMBRIAN,608.18
24.58213,41,0.15254891,PRECAMBRIAN,761.3942
24.58213,40.7,0.26293504,PRECAMBRIAN,900
24.68213,41.4,0.109766155,CRETACEOUS,655.8339
24.68213,41.3,0.06606485,CRETACEOUS,538.07196
24.68213,41.2,0.11342555,PLEISTOCENE,619.7152
24.68213,41.1,0.05967122,PRECAMBRIAN,838.6632
24.68213,41,0.010356469,PLEISTOCENE,307.76718
24.68213,40.9,0.001618777,PLEISTOCENE,217.49792
24.68213,40.7,0.121417046,PRECAMBRIAN,774.03674
24.68213,40.6,0.08633461,PRECAMBRIAN,590.86145
24.78213,41.3,0.19989836,PRECAMBRIAN,747.3596
24.78213,41.2,0.24227697,PRECAMBRIAN,898.5292
24.78213,41.1,0.18289222,PRECAMBRIAN,814.5335
24.78213,41,0.002158369,PLEISTOCENE,220.38246
24.78213,40.9,0.004796625,PLEISTOCENE,234.22244
24.88213,41.3,0.18420623,CRETACEOUS,736.62115
24.88213,41.2,0.16219628,PRECAMBRIAN,779.34875
24.88213,41.1,0.014677253,PLEISTOCENE,343.84076
24.88213,41,0.011059318,PLEISTOCENE,304.95496
24.98213,41.3,0.082052164,PRECAMBRIAN,619.3003
24.98213,41.2,0.032561097,PRECAMBRIAN,584.9123
24.98213,41.1,0.003045283,PLEISTOCENE,237.54099
24.98213,41,0.018471114,CRETACEOUS,362.01895
25.08213,41.3,0.049245518,PRECAMBRIAN,571.9193
25.08213,41.2,0.0790779,PRECAMBRIAN,577.03076
25.08213,41.1,0.009847091,PLEISTOCENE,299.58328
25.18213,41.3,0.079133645,CRETACEOUS,655.47736
25.18213,41.2,0.0510307,PRECAMBRIAN,518.9286
25.18213,41.1,0.002590319,PLEISTOCENE,228.70444
25.18213,41,0.018749477,CRETACEOUS,416.06058
25.28213,41.2,0.08027146,PRECAMBRIAN,786.7868
25.28213,41.1,0.004430057,PLEISTOCENE,253.76408
25.28213,41,0.007588056,CRETACEOUS,287.96472
25.38213,41.2,0.19507186,PRECAMBRIAN,840.81177
25.38213,41.1,0.003290171,PLEISTOCENE,236.70921
25.38213,41,0.005806649,PLEISTOCENE,263.945
25.48213,41.2,0.048298363,PRECAMBRIAN,558.6254
25.48213,41.1,0.012746205,CRETACEOUS,332.26642
25.48213,41,0.05984088,PLEISTOCENE,504.21335
25.48213,40.9,0.025319349,CRETACEOUS,387.43414
25.58213,41.3,0.09390909,PRECAMBRIAN,658.24066
25.58213,41.2,0.024974445,PRECAMBRIAN,450.11426
25.58213,41.1,0.011906229,PLEISTOCENE,294.6258
25.58213,41,0.003315569,PLEISTOCENE,282.85938
25.58213,40.9,0.057760675,CRETACEOUS,507.0682
25.68213,41.3,0.14656793,PRECAMBRIAN,620.10077
25.68213,41.2,0.06244715,PRECAMBRIAN,597.5875
25.68213,41.1,0.004827187,PLEISTOCENE,277.61356
25.68213,41,0.022691138,CRETACEOUS,386.42654
25.78213,41.3,0.074401475,PRECAMBRIAN,484.9754
25.78213,41.2,0.18328504,PRECAMBRIAN,793.73175
25.78213,41.1,0.030167833,CRETACEOUS,514.2256
25.78213,41,0.08128061,CRETACEOUS,525.8215
25.88213,41.3,0.050675232,PRECAMBRIAN,652.09424
25.88213,41.2,0.049775906,PRECAMBRIAN,581.95685
25.88213,41.1,0.025250196,PRECAMBRIAN,454.62183
25.88213,41,0.06412821,CRETACEOUS,510.5136
25.98213,41.3,0.13142638,PRECAMBRIAN,597.57477
25.98213,41.2,0.07790688,PRECAMBRIAN,607.8813
25.98213,41.1,0.11342936,PRECAMBRIAN,679.33044
25.98213,41,0.033940215,CRETACEOUS,439.7842
26.08213,41.7,0.11720859,CRETACEOUS,589.4334
26.08213,41.3,0.011690022,PRECAMBRIAN,415.27618
26.08213,41.2,0.023458358,PRECAMBRIAN,460.31512
26.08213,41.1,0.0689565,PRECAMBRIAN,504.96985
26.08213,41,0.033178113,PRECAMBRIAN,450.61517
26.18213,41.7,0.015303942,CRETACEOUS,343.48062
26.18213,41.6,0.058473755,JURASSIC-TRIASSIC,531.6482
26.18213,41.5,0.011233639,CRETACEOUS,349.09006
26.18213,41.4,0.05229802,CRETACEOUS,511.4822
26.18213,41.3,0.068543285,CRETACEOUS,488.13184
26.18213,41.2,0.050193116,PRECAMBRIAN,461.57864
26.18213,41.1,0.05949603,CRETACEOUS,468.09088
26.18213,41,0.031223994,PRECAMBRIAN,425.72757
26.28213,41.7,0.005750799,PLEISTOCENE,281.88666
26.28213,41.6,0.005626071,PLEISTOCENE,264.5237
26.28213,41.5,0.033791184,CRETACEOUS,428.61676
26.28213,41.4,0.032487653,CRETACEOUS,420.8499
26.28213,41.3,0.071354456,JURASSIC-TRIASSIC,506.51605
26.28213,41.2,0.027939327,PRECAMBRIAN,359.75055
26.28213,41.1,0.07683998,CRETACEOUS,524.49316
26.28213,41,0.003446763,PLEISTOCENE,258.84586
26.38213,41.6,0.001298221,PLEISTOCENE,246.73074
26.38213,41.5,0.038146727,CRETACEOUS,414.65308
26.38213,41.4,0.001296985,PLEISTOCENE,284.9665
26.38213,41.3,0.026507491,PRECAMBRIAN,362.65942
26.48213,41.6,0.011765881,PLEISTOCENE,300.9268
26.48213,41.5,0.007340176,PLEISTOCENE,303.2201
26.48213,41.4,0.036514547,CRETACEOUS,430.74503
26.58213,41.6,0.001772337,PLEISTOCENE,216.03682
26.58213,41.5,0.001079185,PLEISTOCENE,198.01407
26.58213,41.4,0.038031425,CRETACEOUS,376.7951
25.68213,40.9,0.027500408,PRECAMBRIAN,419.85242
25.78213,40.9,0.08634439,PRECAMBRIAN,585.03033
25.88213,40.9,0.10306691,CRETACEOUS,622.2613
25.98213,40.9,0.015109663,CRETACEOUS,355.3339
26.08213,40.9,0.03950117,CRETACEOUS,426.62698
26.08213,40.8,0.000712853,PLEISTOCENE,191.20421
26.18213,40.9,0.03132169,CRETACEOUS,407.7043
26.28213,40.9,0.001079185,PLEISTOCENE,203.10474
21.08213,40.2,0.1028507,CRETACEOUS,657.2567
21.08213,40.1,0.038353987,JURASSIC-TRIASSIC,496.1115
21.08213,40,0.27000046,JURASSIC-TRIASSIC,884.05634
21.18213,40.3,0.097730905,CRETACEOUS,575.0459
21.18213,40.2,0.09307917,CRETACEOUS,548.3538
21.18213,40.1,0.06705394,CRETACEOUS,594.6101
21.18213,40,0.10521285,JURASSIC-TRIASSIC,614.721
21.18213,39.9,0.0949345,JURASSIC-TRIASSIC,656.4142
21.18213,39.7,0.18130846,JURASSIC-TRIASSIC,802.48956
21.28213,40.3,0.026053375,CRETACEOUS,434.75583
21.28213,40.2,0.06438257,CRETACEOUS,540.4205
21.28213,40.1,0.06130986,CRETACEOUS,489.8016
21.28213,40,0.18967664,JURASSIC-TRIASSIC,760.1942
21.28213,39.9,0.04188912,CRETACEOUS,550.7056
21.28213,39.8,0.09985887,JURASSIC-TRIASSIC,750.6114
21.28213,39.7,0.1630198,JURASSIC-TRIASSIC,625.1178
21.28213,39.6,0.048714478,JURASSIC-TRIASSIC,634.8927
21.28213,39.5,0.4152701,JURASSIC-TRIASSIC,900
21.28213,39.4,0.3216732,CRETACEOUS,799.6049
21.38213,40.3,0.03216554,CRETACEOUS,437.80533
21.38213,40.2,0.05932679,CRETACEOUS,509.12436
21.38213,40.1,0.053883452,CRETACEOUS,457.5412
21.38213,40,0.056447383,CRETACEOUS,469.4247
21.38213,39.9,0.11262401,CRETACEOUS,625.6124
21.38213,39.8,0.27857238,JURASSIC-TRIASSIC,900
21.38213,39.7,0.22459969,CRETACEOUS,900
21.38213,39.6,0.27316853,JURASSIC-TRIASSIC,795.71704
21.38213,39.5,0.3158208,JURASSIC-TRIASSIC,900
21.38213,39.4,0.13258694,JURASSIC-TRIASSIC,722.099
21.48213,40.4,0.21031772,PRECAMBRIAN,839.4275
21.48213,40.3,0.01556609,PLEISTOCENE,352.53864
21.48213,40.2,0.016335024,CRETACEOUS,346.68195
21.48213,40.1,0.043089263,CRETACEOUS,398.06638
21.48213,40,0.012989128,CRETACEOUS,339.8176
21.48213,39.9,0.05467345,CRETACEOUS,532.56757
21.48213,39.8,0.07216732,JURASSIC-TRIASSIC,575.8919
21.48213,39.7,0.16786812,JURASSIC-TRIASSIC,900
21.48213,39.6,0.31323174,PLEISTOCENE,845.8338
21.48213,39.5,0.07286893,JURASSIC-TRIASSIC,516.81323
21.48213,39.4,0.29090884,JURASSIC-TRIASSIC,800.1681
21.58213,40.8,0.024789141,CENOZOIC,405.15662
21.58213,40.7,0.053565428,JURASSIC-TRIASSIC,461.28116
21.58213,40.6,0.000710716,PLEISTOCENE,414.83438
21.58213,40.5,0.038792413,PLEISTOCENE,438.04614
21.58213,40.4,0.3035805,JURASSIC-TRIASSIC,900
21.58213,40.3,0.067092516,JURASSIC-TRIASSIC,663.8
21.58213,40.2,0.080959305,CRETACEOUS,571.9446
21.58213,40.1,0.061207518,JURASSIC-TRIASSIC,523.1466
21.58213,40,0.07828835,CRETACEOUS,599.7212
21.58213,39.9,0.034483567,CRETACEOUS,420.48672
21.58213,39.8,0.08545893,CRETACEOUS,608.4339
21.58213,39.7,0.06839246,PLEISTOCENE,537.4413
21.58213,39.6,0.16692056,JURASSIC-TRIASSIC,867.99554
21.58213,39.5,0.35875985,JURASSIC-TRIASSIC,900
21.68213,40.9,0.15071745,PRECAMBRIAN,677.7921
21.68213,40.8,0.10063337,JURASSIC-TRIASSIC,598.31067
21.68213,40.7,0.005171109,PLEISTOCENE,361.98746
21.68213,40.6,0.03446842,CENOZOIC,436.18
21.68213,40.5,0.007334364,PLEISTOCENE,271.06134
21.68213,40.4,0.01622834,CRETACEOUS,370.9355
21.68213,40.3,0.1154478,PLEISTOCENE,563.6334
21.68213,40.2,0.068586476,JURASSIC-TRIASSIC,621.2719
21.68213,40.1,0.032498285,CRETACEOUS,413.95575
21.68213,40,0.07850888,CRETACEOUS,569.38995
21.68213,39.9,0.060191125,CRETACEOUS,503.40875
21.68213,39.8,0.07153975,CRETACEOUS,555.4598
21.68213,39.7,0.099530846,PLEISTOCENE,570.4706
21.68213,39.6,0.003859547,PLEISTOCENE,248.67635
21.68213,39.5,0.009400418,PLEISTOCENE,292.35635
21.78213,40.9,0.1845997,PRECAMBRIAN,895.49457
21.78213,40.8,0.13809651,JURASSIC-TRIASSIC,750.78064
21.78213,40.7,0.108376056,PLEISTOCENE,606.2416
21.78213,40.6,0.1414342,JURASSIC-TRIASSIC,745.5918
21.78213,40.5,0.04927894,PLEISTOCENE,458.35657
21.78213,40.4,0.023882745,PLEISTOCENE,385.69638
21.78213,40.3,0.08254585,JURASSIC-TRIASSIC,504.75455
21.78213,40.2,0.025288932,CRETACEOUS,429.2418
21.78213,40.1,0.07975827,CRETACEOUS,556.9466
21.78213,40,0.083578944,JURASSIC-TRIASSIC,576.71063
21.78213,39.9,0.041684728,PRECAMBRIAN,470.14807
21.78213,39.8,0.05840817,PRECAMBRIAN,487.59018
21.78213,39.7,0.04005587,CRETACEOUS,537.6494
21.78213,39.6,0.045890827,CRETACEOUS,392.73895
21.78213,39.5,0.001499147,PLEISTOCENE,218.92319
21.88213,41,0.18166468,JURASSIC-TRIASSIC,900
21.88213,40.9,0.07381622,JURASSIC-TRIASSIC,671.61523
21.88213,40.8,0.069090314,JURASSIC-TRIASSIC,518.6705
21.88213,40.7,0.032019198,JURASSIC-TRIASSIC,441.08984
21.88213,40.6,0.14246601,JURASSIC-TRIASSIC,777.6966
21.88213,40.5,0.15518159,JURASSIC-TRIASSIC,798.341
21.88213,40.4,0.021709267,PLEISTOCENE,368.99487
21.88213,40.3,0.04874129,CRETACEOUS,445.04138
21.88213,40.2,0.05157767,CRETACEOUS,450.3618
21.88213,40.1,0.13919686,PRECAMBRIAN,733.6049
21.88213,40,0.114899516,PRECAMBRIAN,605.6908
21.88213,39.9,0.06151755,PRECAMBRIAN,506.23285
21.88213,39.8,0.10248019,PRECAMBRIAN,558.22363
21.88213,39.7,0.040107418,PRECAMBRIAN,492.0794
21.88213,39.6,0.121089205,PALEOZOIC,730.24835
21.98213,41.1,0.082171075,CRETACEOUS,649.04944
21.98213,41,0.16000952,PLEISTOCENE,824.0521
21.98213,40.9,0.09383832,JURASSIC-TRIASSIC,634.81775
21.98213,40.8,0.047505524,JURASSIC-TRIASSIC,548.8112
21.98213,40.7,0.115315355,JURASSIC-TRIASSIC,725.0529
21.98213,40.6,0.09687009,JURASSIC-TRIASSIC,675.1372
21.98213,40.5,0.009334195,JURASSIC-TRIASSIC,385.57086
21.98213,40.4,0.14569177,JURASSIC-TRIASSIC,750.89355
21.98213,40.3,0.10045392,JURASSIC-TRIASSIC,657.2111
21.98213,40.2,0.020275025,PLEISTOCENE,377.50153
21.98213,40.1,0.07870709,JURASSIC-TRIASSIC,525.2925
21.98213,40,0.069353305,PRECAMBRIAN,443.737
21.98213,39.9,0.19318052,CRETACEOUS,765.07837
21.98213,39.8,0.057280697,PRECAMBRIAN,609.90045
21.98213,39.7,0.12362304,PRECAMBRIAN,798.0858
21.98213,39.6,0.003527561,PLEISTOCENE,272.06052
22.08213,41.1,0.12841561,JURASSIC-TRIASSIC,698.8082
22.08213,41,0.008848279,PLEISTOCENE,294.20062
22.08213,40.9,0.039419144,CENOZOIC,406.2919
22.08213,40.8,0.10422767,JURASSIC-TRIASSIC,611.489
22.08213,40.7,0.05807948,JURASSIC-TRIASSIC,500.70972
22.08213,40.6,0.06541319,JURASSIC-TRIASSIC,597.4053
22.08213,40.5,0.22819805,JURASSIC-TRIASSIC,885.4076
22.08213,40.4,0.10070018,JURASSIC-TRIASSIC,674.4105
22.08213,40.3,0.20883028,PRECAMBRIAN,804.52405
22.08213,40.2,0.20070432,JURASSIC-TRIASSIC,892.82434
22.08213,40.1,0.13513803,PRECAMBRIAN,646.77515
22.08213,40,0.051310156,CRETACEOUS,475.34348
22.08213,39.9,0.024050599,PLEISTOCENE,481.62955
22.08213,39.8,0.005935516,PLEISTOCENE,259.38965
22.08213,39.7,0.027780741,PRECAMBRIAN,445.36252
22.08213,39.6,0.0771557,PRECAMBRIAN,671.75635
22.18213,41.1,0.26231176,JURASSIC-TRIASSIC,896.5344
22.18213,41,0.21673454,PLEISTOCENE,801.90936
22.18213,40.9,0.058074437,CENOZOIC,510.44684
22.18213,40.8,0.00268214,PLEISTOCENE,228.60574
22.18213,40.7,0.007611985,PLEISTOCENE,287.06512
22.18213,40.6,0.013755027,PLEISTOCENE,330.36282
22.18213,40.5,0.03678862,CRETACEOUS,492.22992
22.18213,40.4,0.27771863,PRECAMBRIAN,900
22.18213,40.3,0.2639434,PALEOZOIC,900
22.18213,40.2,0.2908106,JURASSIC-TRIASSIC,879.0146
22.18213,40.1,0.11221328,PRECAMBRIAN,644.9755
22.18213,40,0.018898865,PLEISTOCENE,387.60843
22.18213,39.9,0.047555104,PRECAMBRIAN,462.4889
22.18213,39.8,0.04585816,PRECAMBRIAN,516.8336
22.18213,39.7,0.09591297,PLEISTOCENE,521.09705
22.18213,39.6,0.124556355,JURASSIC-TRIASSIC,670.1003
22.28213,41.1,0.07520694,JURASSIC-TRIASSIC,569.64984
22.28213,41,0.018660659,JURASSIC-TRIASSIC,408.78616
22.28213,40.9,0.32587066,JURASSIC-TRIASSIC,823.7852
22.28213,40.8,0.001788093,PLEISTOCENE,224.69153
22.28213,40.7,0.001292777,PLEISTOCENE,212.61548
22.28213,40.6,0.001079185,PLEISTOCENE,205.81346
22.28213,40.5,0.006475108,PLEISTOCENE,333.3416
22.28213,40.4,0.085583664,JURASSIC-TRIASSIC,594.51544
22.28213,40.3,0.12455384,JURASSIC-TRIASSIC,727.21765
22.28213,40.2,0.18190539,PRECAMBRIAN,873.95764
22.28213,40.1,0.24104637,PRECAMBRIAN,900
22.28213,40,0.12667869,PRECAMBRIAN,736.58984
22.28213,39.9,0.11213334,PRECAMBRIAN,693.2274
22.28213,39.8,0.12699959,PLEISTOCENE,684.122
22.38213,41.1,0.09769543,JURASSIC-TRIASSIC,668.82825
22.38213,41,0.19852023,JURASSIC-TRIASSIC,849.56384
22.38213,40.9,0.18613677,JURASSIC-TRIASSIC,824.9864
22.38213,40.8,0.028916465,PLEISTOCENE,409.92456
22.38213,40.7,0,PLEISTOCENE,183.96927
22.38213,40.6,0.001079185,PLEISTOCENE,207.82304
22.38213,40.5,0.017933367,PLEISTOCENE,365.8064
22.38213,40.4,0.041380722,CRETACEOUS,478.29706
22.38213,40.3,0.030159544,CRETACEOUS,402.96313
22.38213,40.2,0.060499083,PLEISTOCENE,500.7179
22.38213,40.1,0.38222396,JURASSIC-TRIASSIC,900
22.38213,40,0.2077445,CRETACEOUS,889.4695
22.38213,39.9,0.23070934,PRECAMBRIAN,899.9174
22.38213,39.8,0.044615544,PLEISTOCENE,457.37665
22.48213,41.1,0.04395121,JURASSIC-TRIASSIC,478.3582
22.48213,41,0.033644535,JURASSIC-TRIASSIC,486.9869
22.48213,40.9,0.014155274,PLEISTOCENE,422.7577
22.48213,40.8,0.027612552,CRETACEOUS,393.3471
22.48213,40.7,0,PLEISTOCENE,195.19121
22.48213,40.6,0.000892343,PLEISTOCENE,190.28671
22.48213,40.5,0.02192267,CRETACEOUS,435.06403
22.48213,40.4,0.041361336,CRETACEOUS,428.06818
22.48213,40.3,0.022610592,PLEISTOCENE,398.21814
22.48213,40.2,0.007846125,PLEISTOCENE,293.94482
22.48213,40.1,0.28779545,JURASSIC-TRIASSIC,864.7307
22.48213,40,0.28558505,PRECAMBRIAN,812.91
22.48213,39.9,0.32378298,PRECAMBRIAN,900
22.58213,41.1,0.008663125,JURASSIC-TRIASSIC,333.37482
22.58213,41,0.027389765,CRETACEOUS,439.07217
22.58213,40.9,0.005736871,PLEISTOCENE,271.7882
22.58213,40.8,0.02212478,PLEISTOCENE,359.00702
22.58213,40.7,0.001079185,PLEISTOCENE,211.02252
22.58213,40.6,0.000710716,PLEISTOCENE,196.25533
